Age,Income,Credit_Score,Loan_Amount,Loan_Term,Employment_Type,Education,Existing_Loans,Dependents,Loan_Approved
28,24556,690,306787,24,Salaried,Graduate,4,0,0
58,128604,566,81244,12,Salaried,Graduate,4,4,0
22,70124,829,489898,24,Self-employed,Not Graduate,0,1,1
48,107194,692,213032,24,Self-employed,Graduate,0,3,1
27,112104,726,683052,36,Salaried,Not Graduate,4,0,1
45,38656,832,357419,60,Self-employed,Graduate,0,0,1
35,93861,590,946865,24,Salaried,Not Graduate,2,3,0
44,60638,739,422528,24,Self-employed,Graduate,4,1,1
55,82175,633,534714,48,Self-employed,Graduate,2,0,1
35,26414,711,470651,36,Salaried,Graduate,4,2,0
34,148870,752,977657,48,Salaried,Not Graduate,1,1,1
56,86876,849,499245,60,Self-employed,Not Graduate,1,1,1
53,147372,596,842495,12,Salaried,Graduate,1,3,1
59,34653,747,450156,60,Self-employed,Not Graduate,4,0,0
28,87946,724,166970,36,Self-employed,Graduate,3,0,1
37,149225,641,582342,12,Self-employed,Graduate,1,2,1
31,18149,715,562340,12,Salaried,Not Graduate,2,1,0
24,81143,840,132582,12,Self-employed,Graduate,4,1,1
29,142592,831,223148,36,Self-employed,Graduate,4,1,1
40,122593,741,509381,60,Self-employed,Graduate,1,1,1
25,106627,560,666886,60,Salaried,Graduate,0,0,1
24,78015,584,999401,12,Self-employed,Graduate,4,1,0
38,145248,659,615427,24,Self-employed,Graduate,3,3,0
33,42726,599,740993,48,Self-employed,Not Graduate,3,3,0
24,43799,581,472179,36,Salaried,Graduate,1,1,0
55,135601,621,492374,24,Self-employed,Not Graduate,1,0,1
49,43666,575,733823,60,Salaried,Graduate,1,1,0
47,145307,796,274130,48,Salaried,Graduate,3,0,1
45,87521,782,349105,48,Self-employed,Graduate,1,2,1
34,33331,846,821476,60,Salaried,Not Graduate,0,0,1
58,142987,807,944141,60,Salaried,Graduate,4,0,1
32,35962,584,758011,24,Self-employed,Graduate,4,1,0
58,28418,591,489589,60,Self-employed,Not Graduate,1,2,0
36,87629,752,187235,36,Self-employed,Not Graduate,0,0,1
50,44209,587,613750,24,Self-employed,Graduate,2,0,0
36,114869,695,215409,48,Self-employed,Graduate,4,2,1
27,53203,685,171035,12,Salaried,Not Graduate,2,4,0
34,107884,654,770892,36,Self-employed,Not Graduate,0,0,1
48,90530,572,53717,36,Salaried,Not Graduate,1,3,1
56,130115,837,60139,12,Salaried,Graduate,4,0,1
44,56821,770,183636,12,Self-employed,Not Graduate,0,2,1
34,83412,602,420858,60,Self-employed,Graduate,1,1,1
32,126080,562,238073,36,Self-employed,Graduate,2,1,1
27,118281,569,950300,48,Salaried,Graduate,3,2,1
40,77662,664,74813,24,Self-employed,Not Graduate,2,0,1
38,110050,810,469093,60,Self-employed,Graduate,0,2,1
32,87590,569,163668,60,Self-employed,Not Graduate,2,3,0
59,48315,747,993199,60,Salaried,Not Graduate,0,3,0
21,69651,736,502248,12,Self-employed,Not Graduate,0,2,1
53,99077,759,392027,48,Self-employed,Graduate,1,3,1
45,63620,841,365568,48,Salaried,Not Graduate,2,1,1
48,102475,788,513246,48,Salaried,Not Graduate,1,0,1
